id,road_type,num_lanes,curvature,speed_limit,lighting,weather,road_signs_present,public_road,time_of_day,holiday,school_season,num_reported_accidents,accident_risk,lanes_speed,curvature_speed,lanes_curvature,high_speed,high_curvature,few_lanes,no_signs,holiday_risk,speed_category,curvature_category
50309,highway,1,0.09,45,dim,rainy,False,False,afternoon,True,False,2,0.15,45,4.05,0.09,0,0,1,1,1,medium,low
95219,urban,4,0.14,60,daylight,rainy,False,True,morning,True,False,0,0.2,240,8.4,0.56,1,0,0,1,1,medium,low
197653,highway,2,0.51,25,dim,rainy,True,True,evening,False,False,0,0.29,50,12.75,1.02,0,0,1,0,0,low,medium
111236,rural,1,0.33,60,daylight,clear,False,True,morning,False,True,1,0.25,60,19.8,0.33,1,0,1,1,0,medium,medium
147247,urban,4,0.12,60,daylight,foggy,False,True,afternoon,False,False,1,0.32,240,7.199999999999999,0.48,1,0,0,1,0,medium,low
353495,highway,4,0.01,35,daylight,clear,True,False,afternoon,False,False,2,0.05,140,0.35000000000000003,0.04,0,0,0,0,0,low,low
285002,urban,2,1.0,70,dim,foggy,True,False,evening,True,True,3,0.76,140,70.0,2.0,1,1,1,0,1,high,high
249557,highway,4,0.43,25,dim,foggy,False,True,evening,True,False,1,0.21,100,10.75,1.72,0,0,0,1,1,low,medium
417657,urban,3,0.54,45,dim,foggy,True,True,afternoon,True,False,2,0.18,135,24.3,1.62,0,1,0,0,1,medium,medium
400306,highway,1,0.93,25,dim,clear,False,True,evening,False,False,1,0.3,25,23.25,0.93,0,1,1,1,0,low,high
366550,rural,2,0.1,60,daylight,clear,True,False,afternoon,True,False,2,0.25,120,6.0,0.2,1,0,1,0,1,medium,low
219723,highway,3,0.55,70,night,clear,True,True,afternoon,True,True,1,0.57,210,38.5,1.6500000000000001,1,1,0,0,1,high,medium
149309,highway,4,0.54,35,daylight,rainy,True,True,evening,True,True,1,0.28,140,18.900000000000002,2.16,0,1,0,0,1,low,medium
156746,highway,3,0.35,70,daylight,rainy,False,True,evening,True,False,0,0.37,210,24.5,1.0499999999999998,1,0,0,1,1,high,medium
512352,urban,1,0.65,25,night,clear,True,False,morning,True,False,1,0.34,25,16.25,0.65,0,1,1,0,1,low,high
78273,highway,1,0.57,45,dim,clear,True,False,afternoon,False,True,1,0.16,45,25.65,0.57,0,1,1,0,0,medium,medium
395971,urban,1,0.73,45,daylight,rainy,False,False,morning,True,True,0,0.38,45,32.85,0.73,0,1,1,1,1,medium,high
440355,highway,2,0.62,25,night,rainy,True,True,evening,True,True,2,0.51,50,15.5,1.24,0,1,1,0,1,low,high
401961,rural,4,0.83,25,night,foggy,False,True,morning,True,False,3,0.54,100,20.75,3.32,0,1,0,1,1,low,high
